cpv_code;cpv_description;total_tenders
45231100-6;Ogólne roboty budowlane związane z budową rurociągów;127
79999100-4;Usługi skanowania;127
80430000-7;Usługi edukacji osób dorosłych na poziomie akademickim;127
22110000-4;Drukowane książki;126
44114200-4;Produkty betonowe;126
44423400-5;Znaki i podobne elementy;126
80300000-7;Usługi szkolnictwa wyższego;126
90919300-5;Usługi sprzątania szkół;126
33161000-6;Urządzenia elektrochirurgiczne;125
72400000-4;Usługi internetowe;125
14211000-3;Piasek;124
73111000-3;Laboratoryjne usługi badawcze;124
79995100-6;Usługi archiwizacyjne;124
33141700-7;Wyroby ortopedyczne;123
33168100-6;Endoskopy;123
85142100-7;Usługi fizjoterapii;123
45212222-8;Roboty budowlane związane z salami gimnastycznymi;122
45233161-5;Roboty budowlane w zakresie ścieżek pieszych;122
79540000-1;Usługi w zakresie tłumaczeń ustnych;122
15890000-3;Różne produkty spożywcze i produkty suszone;121
31625200-5;Systemy przeciwpożarowe;121
33700000-7;Produkty do pielęgnacji ciała;121
44113800-3;Materiały do układania nawierzchni drogowych;121
45214220-8;Roboty budowlane w zakresie szkół średnich;121
45311100-1;Roboty w zakresie okablowania elektrycznego;120
33196200-2;Sprzęt dla osób niepełnosprawnych;119
38430000-8;Aparatura do wykrywania i analizy;119
34113000-2;Pojazdy z napędem na 4 koła;118
77313000-7;Usługi utrzymania parków;118
79310000-0;Usługi badania rynku;118
90700000-4;Usługi środowiska naturalnego;118
34134000-5;Ciężarówki z platformami płaskimi i wywrotki;117
98351100-9;Usługi parkingowe;117
80340000-9;Usługi edukacji specjalnej;116
80511000-9;Usługi szkolenia personelu;116
30216110-0;Skanery komputerowe;115
34152000-7;Symulatory szkoleniowe;115
39221000-7;Sprzęt kuchenny;115
42500000-1;Urządzenia chłodzące i wentylacyjne;115
44190000-8;Różne materiały budowlane;115
77600000-6;Usługi myśliwskie;115
03452000-3;Drzewa;114
15131100-6;Produkty mięsno-wędliniarskie;114
24962000-5;Chemikalia do uzdatniania wody;114
38652000-0;Projektory filmowe;114
45314300-4;Instalowanie infrastruktury okablowania;114
90511300-5;Usługi zbierania śmieci;114
90520000-8;Usługi w zakresie odpadów radioaktywnych, toksycznych, medycznych i niebezpiecznych;114
03121100-6;Żywe rośliny, bulwy, korzenie, sadzonki i rozsady;113
38400000-9;Przyrządy do badania właściwości fizycznych;113
45252100-9;Roboty budowlane w zakresie zakładów oczyszczania ścieków;113
09122100-1;Propan;112
31527200-8;Oświetlenie zewnętrzne;112
32321200-1;Urządzenia audiowizualne;112
38520000-6;Skanery;112
80110000-8;Usługi szkolnictwa przedszkolnego;112
32330000-5;Aparatura do nagrywania i powielania dźwięku i obrazu wideo;111
34114300-2;Pojazdy opieki socjalnej;111
39131100-0;Regały archiwalne;111
72413000-8;Usługi w zakresie projektowania stron WWW;111
79500000-9;Dodatkowe usługi biurowe;111
98300000-6;Różne usługi;111
15400000-2;Oleje i tłuszcze zwierzęce lub roślinne;110
30210000-4;Maszyny do przetwarzania danych (sprzęt;110
33181520-3;Wyroby do dializy nerkowej;110
44210000-5;Konstrukcje i części konstrukcji;110
44510000-8;Narzędzia;110
45112711-2;Roboty w zakresie kształtowania parków;109
50531100-7;Usługi w zakresie napraw i konserwacji kotłów grzewczych;109
98371111-5;Usługi utrzymania cmentarzy;109
71322200-3;Usługi projektowania rurociągów;108
90524400-0;Usługi gromadzenia, transportu i wywozu odpadów szpitalnych;108
98341120-2;Usługi portierskie;108
33191100-6;Urządzenia sterylizujące;107
33761000-2;Papier toaletowy;107
45246000-3;Roboty w zakresie regulacji rzek i kontroli przeciwpowodziowej;107
33680000-0;Wyroby farmaceutyczne;106
45211000-9;Roboty budowlane w zakresie budownictwa wielorodzinnego i domów jednorodzinnych;106
45420000-7;Roboty w zakresie zakładania stolarki budowlanej oraz roboty ciesielskie;106
45421132-8;Instalowanie okien;106
75251110-4;Usługi ochrony przeciwpożarowej;106
90410000-4;Usługi usuwania ścieków;106
33141120-7;Zaciski, szwy, podwiązki naczyniowe;105
33763000-6;Ręczniki papierowe do rąk;105
34922100-7;Oznakowanie drogowe;105
50410000-2;Usługi w zakresie napraw i konserwacji aparatury pomiarowej, badawczej i kontrolnej;105
50870000-4;Usługi w zakresie napraw i konserwacji wyposażenia placów zabaw;105
33698100-0;Kultury mikrobiologiczne;104
34223300-9;Przyczepy;104
39162000-5;Pomoce naukowe;104
45223800-4;Montaż i wznoszenie gotowych konstrukcji;104
71540000-5;Usługi zarządzania budową;104
80400000-8;Usługi edukacji osób dorosłych oraz inne;104
85121100-4;Ogólne usługi lekarskie;104
18110000-3;Odzież branżowa;103
45262660-5;Usuwanie azbestu;103
03000000-1;Produkty rolnictwa, hodowli, rybołówstwa, leśnictwa i podobne;102
15894300-4;Dania gotowe;102
24111900-4;Tlen;102
38650000-6;Sprzęt fotograficzny;102
45247270-3;Budowa zbiorników;102
45343000-3;Roboty instalacyjne przeciwpożarowe;102
64120000-3;Usługi kurierskie;102
85312500-4;Usługi rehabilitacyjne;102
09134220-5;Paliwo do silników diesla (EN 590;101
39151000-5;Meble różne;101
44160000-9;Rurociągi, instalacje rurowe, rury, okładziny rurowe, rury i podobne elementy;101
48517000-5;Pakiety oprogramowania informatycznego;101
63712400-7;Usługi w zakresie obsługi parkingów;101
34120000-4;Pojazdy silnikowe do transportu 10 lub więcej osób;100
45262220-9;Wiercenie studni wodnych;100
45331210-1;Instalowanie wentylacji;100
90400000-1;Usługi utylizacji nieczystości;100
45232452-5;Roboty odwadniające;99
30237000-9;Części, akcesoria i wyroby do komputerów;98
33652000-5;Środki przeciwnowotworowe i immunomodulacyjne;98
34114100-0;Pojazdy pogotowia;98
33192500-7;Probówki;97
38651600-9;Kamery cyfrowe;97
38970000-5;Badawcze, testowe i naukowe symulatory techniczne;97
42921300-1;Maszyny do pakowania zbiorczego lub jednostkowego;97
50100000-6;Usługi w zakresie napraw i konserwacji pojazdów i podobnego sprzętu oraz podobne usługi;97
71313000-5;Usługi doradcze w zakresie środowiska naturalnego;97
39512000-4;Bielizna pościelowa;96
44113000-5;Drogowe materiały konstrukcyjne;96
44421721-7;Kasety depozytowe;96
45252120-5;Roboty budowlane w zakresie zakładów uzdatniania wody;96
72310000-1;Usługi przetwarzania danych;96
79952100-3;Usługi w zakresie organizacji imprez kulturalnych;96
90919000-2;Usługi sprzątania biur i szkół oraz czyszczenia urządzeń biurowych;96
92111250-9;Produkcja filmów informacyjnych;96
98390000-3;Inne usługi;96
15894220-9;Posiłki szpitalne;95
33141800-8;Wyroby stomatologiczne;95
50230000-6;Usługi w zakresie napraw i konserwacji i podobne usługi osprzętu dróg i innego sprzętu;95
15511000-3;Mleko;94
31682530-4;Awaryjne urządzenia energetyczne;94
44611500-1;Zbiorniki na wodę;94
71631450-9;Usługi kontroli mostów;94
79930000-2;Specjalne usługi projektowe;94
34115000-6;Inne samochody pasażerskie;93
45113000-2;Roboty na placu budowy;93
48823000-3;Serwery plików;93
55243000-5;Usługi w zakresie obozowisk dla dzieci;93
79311200-9;Usługi przeprowadzania badań ankietowych;93
50721000-5;Obsługa instalacji grzewczych;92
33111710-1;Wyroby do angiografii;91
33692000-7;Roztwory lecznicze;91
50532000-3;Usługi w zakresie napraw i konserwacji maszyn elektrycznych, aparatury i podobnych urządzeń;91
66516000-0;Usługi ubezpieczenia od odpowiedzialności cywilnej;91
80411000-8;Usługi szkół jazdy;91
37410000-5;Sprzęt sportowy do uprawiania sportów na wolnym powietrzu;90
45316000-5;Instalowanie systemów oświetleniowych i sygnalizacyjnych;90
75250000-3;Usługi straży pożarnej oraz ratownicze;90
30232000-4;Sprzęt peryferyjny;89
35000000-4;Sprzęt bezpieczeństwa, gaśniczy, policyjny i obronny;89
42415110-2;Wózki widłowe;89
45233225-2;Roboty budowlane w zakresie dróg jednopasmowych;89
48710000-8;Pakiety oprogramowania do kopii zapasowych i odzyskiwania;89
64210000-1;Usługi telefoniczne i przesyłu danych;89
77320000-9;Usługi utrzymania terenów sportowych;89
79822500-7;Usługi projektów graficznych;89
90524300-9;Usługi usuwania odpadów biologicznych;89
30211000-1;Komputery wysokowydajne;88
33141770-8;Wyroby używane w przypadku złamań, śruby i płyty;88
66515400-7;Usługi ubezpieczenia od skutków żywiołów;88
98341140-8;Usługi dozorowania;88
15131000-5;Konserwy i przetwory z mięsa;87
15330000-0;Przetworzone owoce i warzywa;87
33192100-3;Łóżka do użytku medycznego;87
39110000-6;Siedziska, krzesła i produkty z nimi związane, i ich części;87
42511110-5;Pompy grzewcze;87
45211310-5;Roboty budowlane w zakresie łazienek;87
09130000-9;Ropa naftowa i destylaty;86
18412000-0;Odzież sportowa;86
31523200-0;Trwałe znaki informacyjne;86
33692200-9;Produkty do żywienia pozajelitowego;86
34350000-5;Opony do pracy w lekkich i ciężkich warunkach;86
45112730-1;Roboty w zakresie kształtowania dróg i autostrad;86
45221000-2;Roboty budowlane w zakresie budowy mostów i tuneli, szybów i kolei podziemnej;86
48760000-3;Pakiety oprogramowania do ochrony antywirusowej;86
50760000-0;Usługi napraw i konserwacji obiektów użyteczności społecznej;86
55240000-4;Usługi w zakresie ośrodków i domów wypoczynkowych;86
73220000-0;Usługi doradcze w zakresie rozwoju;86
33123210-3;Urządzenia do monitorowania czynności serca;85
33196000-0;Pomoce medyczne;85
90921000-9;Usługi dezynfekcji i dezynsekcji budynków;85
16310000-1;Kosiarki;84
33141200-2;Cewniki;84
45410000-4;Tynkowanie;84
60181000-0;Wynajem samochodów ciężarowych wraz z kierowcą;84
71314100-3;Usługi elektryczne;84
33124100-6;Urządzenia diagnostyczne;83
33192230-3;Stoły operacyjne;83
34521400-9;Łodzie ratunkowe;83
42513000-5;Urządzenia chłodnicze i mrożące;83
44411000-4;Wyroby sanitarne;83
48180000-3;Pakiety oprogramowania medycznego;83
03110000-5;Rośliny uprawne, produkty warzywnictwa i ogrodnictwa;82
33692510-5;Preparaty odżywiania wewnątrzjelitowego;82
38300000-8;Przyrządy do pomiaru;82
55521200-0;Usługi dowożenia posiłków;82
33111730-7;Wyroby do angioplastyki;81
39296100-4;Trumny;81
45233130-9;Roboty budowlane zakresie dróg krajowych;81
45430000-0;Pokrywanie podłóg i ścian;81
48620000-0;Systemy operacyjne;81
71323100-9;Usługi projektowania systemów zasilania energią elektryczną;81
75251120-7;Usługi ochrony przeciwpożarowej lasów;81
80521000-2;Usługi opracowywania programów szkoleniowych;81
31431000-6;Akumulatory ołowiowo-kwasowe;80
33692800-5;Roztwory do dializy;80
34114200-1;Radiowozy policyjne;80
39711100-0;Chłodziarki i zamrażarki;80
45255110-3;Roboty budowlane w zakresie studni;80
66515000-3;Usługi ubezpieczenia od uszkodzenia lub utraty;80
79421000-1;Usługi zarządzania projektem inne niż w zakresie robot budowlanych;80
98311000-6;Usługi odbierania prania;80
33183200-8;Protezy ortopedyczne;79
35125300-2;Kamery bezpieczeństwa;79
45232423-3;Roboty budowlane w zakresie przepompowni ścieków;79
72591000-4;Rozszerzanie umów serwisowych;79
77314000-4;Usługi utrzymania gruntów;79
79111000-5;Usługi w zakresie doradztwa prawnego;79
33155000-1;Przyrządy do fizykoterapii;78
85312400-3;Usługi opieki społecznej nieświadczone przez ośrodki pobytowe;78
34142300-7;Pojazdy samowyładowcze;77
34928470-3;Elementy oznakowania;77
42931100-2;Wirówki laboratoryjne i akcesoria;77
50421200-4;Usługi w zakresie napraw i konserwacji sprzętu rentgenowskiego;77
71900000-7;Usługi laboratoryjne;77
32236000-6;Radiotelefony;76
33696400-9;Odczynniki izotopowe;76
34150000-3;Symulatory;76
34920000-2;Sprzęt drogowy;76
38424000-3;Urządzenia pomiarowe i sterujące;76
42997300-4;Roboty przemysłowe;76
45212224-2;Roboty budowlane związane ze stadionami;76
72300000-8;Usługi w zakresie danych;76
33115000-9;Urządzenia do tomografii;75
42912330-4;Aparatura do oczyszczania wody;75
45216110-8;Roboty budowlane w zakresie obiektów budowlanych dla służb porządku publicznego;75
72316000-3;Usługi analizy danych;75
77500000-5;Usługi hodowli zwierząt;75
15112100-7;Świeży drób;74
24111800-3;Azot ciekły;74
24451000-0;Pestycydy;74
33158400-6;Sprzęt do terapii mechanicznej;74
34131000-4;Pikapy;74
34144213-4;Motopompy;74
44113620-7;Asfalt;74
45212225-9;Roboty budowlane związane z halami sportowymi;74
45221119-9;Roboty budowlane w zakresie renowacji mostów;74
48190000-6;Pakiety oprogramowania edukacyjnego;74
50412000-6;Usługi w zakresie napraw i konserwacji aparatury badawczej;74
79420000-4;Usługi związane z zarządzaniem;74
79600000-0;Usługi rekrutacyjne;74
90513000-6;Usługi obróbki i usuwania odpadów, które nie są niebezpieczne;74
14622000-7;Stal;73
31121100-1;Generatory z silnikami o zapłonie samoczynnym;73
33112340-3;Echokardiografy;73
33195000-3;System monitorowania pacjentów;73
38651000-3;Aparaty fotograficzne;73
39113000-7;Różne siedziska i krzesła;73
45112100-6;Roboty w zakresie kopania rowów;73
48810000-9;Systemy informacyjne;73
80320000-3;Usługi edukacji medycznej;73
33141320-9;Igły medyczne;72
45212350-4;Budynki o szczególnej wartości historycznej lub architektonicznej;72
48600000-4;Pakiety oprogramowania dla baz danych i operacyjne;72
50232000-0;Usługi w zakresie konserwacji publicznych instalacji oświetleniowych i sygnalizatorów;72
79824000-6;Usługi drukowania i dystrybucji;72
18130000-9;Specjalna odzież robocza;71
33181500-7;Wyroby do terapii nerkowej;71
33194110-0;Pompy infuzyjne;71
44212321-5;Wiaty autobusowe;71
45212314-0;Roboty budowlane w zakresie pomników historycznych lub miejsc pamięci;71
45215100-8;Roboty budowlane w zakresie budowy placówek zdrowotnych;71
79417000-0;Usługi doradcze w zakresie bezpieczeństwa;71
09110000-3;Paliwa stałe;70
15860000-4;Kawa, herbata i podobne produkty;70
24110000-8;Gazy przemysłowe;70
32413100-2;Rutery sieciowe;70
34980000-0;Bilety przewozowe;70
35210000-9;Cele strzelnicze;70
42912300-5;Maszyny i aparatura do filtrowania lub oczyszczania wody;70
42990000-2;Różne maszyny specjalnego zastosowania;70
45233251-3;Wymiana nawierzchni;70
92610000-0;Usługi świadczone przez ośrodki sportowe;70
31430000-9;Akumulatory elektryczne;69
32340000-8;Mikrofony i głośniki;69
33731110-7;Soczewki śródoczne;69
44621200-1;Kotły grzewcze;69
44800000-8;Farby, lakiery i mastyksy;69
45233280-5;Wznoszenie barier drogowych;69
48732000-8;Pakiety oprogramowania do zabezpieczania danych;69
50610000-4;Usługi w zakresie napraw i konserwacji sprzętu bezpieczeństwa;69
66000000-0;Usługi finansowe i ubezpieczeniowe;69
85145000-7;Usługi świadczone przez laboratoria medyczne;69
33125000-2;Urządzenia do badań urologicznych;68
33150000-6;Urządzenia do radioterapii, mechanoterapii, elektroterapii i fizykoterapii;68
45232460-4;Roboty sanitarne;68
45421130-4;Instalowanie drzwi i okien;68
71314300-5;Usługi doradcze w zakresie wydajności energetycznej;68
73100000-3;Usługi badawcze i eksperymentalno-rozwojowe;68
90480000-5;Usługi gospodarki ściekowej;68
90514000-3;Usługi recyklingu odpadów;68
92622000-7;Usługi w zakresie organizowania wydarzeń sportowych;68
09211000-1;Oleje smarowe i środki smarowe;67
14523300-6;Srebro;67
15510000-6;Mleko i śmietana;67
32324600-6;Telewizory cyfrowe;67
32351200-0;Ekrany;67
44113610-4;Bitum;67
45315100-9;Instalacyjne roboty elektrotechniczne;67
50413200-5;Usługi w zakresie napraw i konserwacji sprzętu gaśniczego;67
71251000-2;Usługi architektoniczne i dotyczące pomiarów budynków;67
79300000-7;"Badania rynkowe i ekonomiczne; ankietowanie i statystyka";67
85312310-5;Usługi dozoru;67
22900000-9;Różne druki;66
33141310-6;Strzykawki;66
42900000-5;Różne maszyny ogólnego i specjalnego przeznaczenia;66
50112300-6;Mycie samochodów i podobne usługi;66
90710000-7;Zarządzanie środowiskiem naturalnym;66
92522100-7;Usługi ochrony obiektów historycznych;66
15713000-9;Karma dla zwierząt domowych;65
24457000-2;Środki grzybobójcze;65
44163000-0;Rury i osprzęt;65
45232451-8;Roboty odwadniające i nawierzchniowe;65
72411000-4;Dostawcy usług internetowych (ISP;65
90911300-9;Usługi czyszczenia okien;65
15130000-8;Produkty mięsne;64
15131135-0;Wędliny drobiowe;64
31400000-0;Akumulatory, komory galwaniczne i baterie galwaniczne;64
33696100-6;Odczynniki do klasyfikacji grupy krwi;64
34996300-8;Parkingowe urządzenia kontrolne, bezpieczeństwa lub sygnalizacyjne;64
35811100-3;Mundury strażackie;64
39141100-3;Regały;64
42520000-7;Urządzenia wentylacyjne;64
43221000-8;Równiarki drogowe;64
60180000-3;Wynajem pojazdów do transportu towarów wraz z kierowcą;64
71222000-0;Usługi architektoniczne w zakresie przestrzeni;64
80533100-0;Usługi szkolenia komputerowego;64
14212120-7;Żwir;63
15980000-1;Napoje bezalkoholowe;63
33162100-4;Urządzenia używane na salach operacyjnych;63
34142000-4;Ciężarówki wyposażone w dźwig i pojazdy samowyładowcze;63
42514310-8;Filtry powietrza;63
50312000-5;Usługi w zakresie napraw i konserwacji sprzętu komputerowego;63
85112000-7;Dodatkowe usługi szpitalne;63
85210000-3;Ośrodki pielęgnowania zwierząt domowych;63
15894200-3;Posiłki gotowe;62
33124131-2;Paski odczynnikowe;62
33195100-4;Monitory;62
